,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,featured in
91,DESSERT PARLOR,Millie Creperie,4.4,(124 Reviews),"Baldwin Street, Kensington-Chinatown","161 Baldwin Street, Toronto M5T 1L9","['Desserts', 'Cafe', 'Japanese']",CA$30,['Sweet Tooth']
92,BAR,416 Snack Bar,4.3,(174 Reviews),"Queen Street West, Trinity Bellwoods","181 Bathurst Street, Toronto M5T 2R7","['Bar Food', 'Asian Fusion', 'Canadian']",CA$40,"['Late Night Restaurants, Hipster Hangouts']"
93,CASUAL DINING,Ding Tai Fung,4.4,(231 Reviews),"Highway 7, Markham","First Markham Place, 3235 Highway 7 E, Markham L3R 3P3","['Shanghai', 'Chinese', 'Asian']",CA$35,[]
94,FINE DINING,Harbour Sixty,4.3,(270 Reviews),"Bay Street, Harbourfront","60 Harbour Street, Toronto","['Seafood', 'American']",CA$180,['Super Seafood']
95,CASUAL DINING,Joey,4.4,(305 Reviews),"Clock Tower Road, North York","75, O'Neill Road, North York, Toronto M3C 0H2","['Steak', 'Grill', 'Fusion']",CA$70,[]
96,CASUAL DINING,Scaddabush,4.4,(162 Reviews),"Yonge Street, Downtown Yonge","382 Yonge Street, Toronto M5B 1S8",['Italian'],CA$60,[]
97,FINE DINING,Bymark,4.7,(292 Reviews),"King Street West, Financial District","Toronto Dominion Centre, 66 Wellington Street West, Toronto M5K 1M6",['Canadian'],CA$120,['Kickass Burgers']
98,QUICK BITES,El Trompo,4.4,(247 Reviews),"Oxford Street, Kensington-Chinatown","277 Augusta Avenue, Toronto M5T2M1",['Mexican'],CA$45,['Mexican Magic']
99,FINE DINING,Yasu,4.3,(75 Reviews),"Harbord Street, Harbord Village","81 Harbord Street, Toronto M5S 1G4","['Sushi', 'Japanese', 'Asian']",CA$160,['Super Sushi']
100,CASUAL DINING,Restoran Malaysia,4.5,(297 Reviews),"Major Mackenzie Drive East, Richmond Hill","815 Major Mackenzie Drive E, Unit 10, Richmond Hill L4C 9X2","['Malaysian', 'Asian']",CA$60,[]
101,CASUAL DINING,The Lakeview Restaurant,3.8,(272 Reviews),"Dundas Street West, Little Italy","1132 Dundas Street West, Toronto","['Canadian', 'Diner', 'Grill', 'Burger']",CA$45,[]
102,CASUAL DINING,Rose & Sons,4.1,(200 Reviews),"Dupont Street, The Annex","176 Dupont Street, Toronto M5R 2E6","['American', 'Fusion']",CA$70,['Weekend Brunches']
103,QUICK BITES,Poutini's House of Poutine,4.2,(231 Reviews),"Queen Street West, Beaconsfield Village","1112 Queen Street West, Toronto M6J 1H9",['Canadian'],CA$25,['Late Night Restaurants']
104,CASUAL DINING,RS - Real Sports,4.0,(280 Reviews),"York Street, Entertainment District","Maple Leaf Square, 15 York Street, Toronto, ON M5J 2Z2","['Bar Food', 'Grill']",CA$80,['Sports Bars']
105,QUICK BITES,Ravi Soups,4.9,(238 Reviews),"Adelaide Street West, Entertainment District","322 Adelaide Street West, Toronto M5V 1R1","['Sri Lankan', 'Healthy Food']",CA$35,[]
106,CASUAL DINING,Farmhouse Tavern,4.3,(163 Reviews),"Dupont Street, Junction Triangle","1627 Dupont Street, Toronto M6P 3S8","['Bar Food', 'Canadian']",CA$65,"['Weekend Brunches, Great Breakfasts']"
107,CASUAL DINING,Cibo Wine Bar King St West,4.0,(155 Reviews),"King Street West, Fashion District","522 King Street West, Toronto",['Italian'],CA$70,['Mamma Mia!']
108,CASUAL DINING,Mickey's Pizza,4.5,(232 Reviews),"Lakeshore Road West, Mississauga","1900 Lakeshore Road W, Mississauga L5J 1J7",['Pizza'],CA$30,[]
109,CASUAL DINING,Sushi On Bloor,4.2,(354 Reviews),"Bloor Street West, Harbord Village","25 Bloor Street West, Toronto M5S 1Y4 M5S","['Sushi', 'Japanese', 'Asian']",CA$50,['Super Sushi']
110,CASUAL DINING,The 3 Brewers,4.1,(314 Reviews),"Yonge Street, Downtown Yonge","275 Yonge Street, Toronto M5B 1N8","['American', 'Bar Food']",CA$65,[]
111,BAKERY,Lamanna's Bakery,4.7,(169 Reviews),"Kingston Road, Scarborough","6758 Kingston Road, Scarborough M1B 1G8","['Bakery', 'Italian']",CA$25,[]
112,CASUAL DINING,Woodlot,4.2,(211 Reviews),"College Street, Little Italy","293 Palmerston Avenue, Toronto M6J 2J3",['Canadian'],CA$100,"['Comfort Food, Date Night, Happy Herbivores']"
113,BAR,Thoroughbred,4.3,(112 Reviews),"Queen Street West, Entertainment District","304 Richmond Street West, Toronto M5V 1X2","['Fusion', 'Canadian', 'Bar Food']",CA$80,[]
114,CASUAL DINING,Federick Restaurant,4.2,(231 Reviews),"1920 Ellesmere Road, Scarborough","1920 Ellesmere Road, Scarborough M1H 2V6","['Hakka Chinese', 'Chinese', 'Asian']",CA$30,[]
115,CASUAL DINING,Foxley Bistro,4.5,(219 Reviews),"Ossington Avenue, Trinity Bellwoods","207 Ossington Avenue, Toronto M6J 2Z8","['Tapas', 'Asian Fusion']",CA$40,[]
116,FINE DINING,Café Boulud,4.1,(142 Reviews),"Yorkville Avenue, Yorkville","Four Seasons Hotel Toronto, 60 Yorkville Avenue M4W 0A4",['French'],CA$140,['Date Night']
117,CASUAL DINING,Chantecler,4.5,(140 Reviews),"Queen Street West, Brockton Village","1320 Queen Street West, Toronto M6K 1L4",['Asian Fusion'],CA$40,['Late Night Restaurants']
118,CASUAL DINING,Pho Hung,4.1,(287 Reviews),"Spadina Avenue, Kensington-Chinatown","350 Spadina Avenue, Toronto M5T2G4",['Vietnamese'],CA$35,['Restaurants Serving Pho']
119,CASUAL DINING,Smoque N' Bones,4.2,(116 Reviews),"Queen Street West, Trinity Bellwoods","869 Queen Street West, Toronto","['BBQ', 'Bar Food']",CA$50,['Barbecue & Grill']
120,CASUAL DINING,Queen Margherita Pizza,4.2,(279 Reviews),"Queen Street East, Leslieville","1402 Queen Street East, Toronto M4L 1C9",['Pizza'],CA$60,[]
121,QUICK BITES,Big Smoke Burger,4.4,(290 Reviews),"King Street West, Fashion District","573 King Street West, Toronto","['Burger', 'Fast Food']",CA$25,['Kickass Burgers']
122,CASUAL DINING,Memphis BBQ & Wicked Wings,4.8,(255 Reviews),"Islington Avenue, Woodbridge","8074 Islington Avenue, Vaughan","['BBQ', 'American']",CA$35,[]
123,BAKERY,Wanda's Pie In The Sky,4.2,(177 Reviews),"Augusta Avenue, Kensington-Chinatown","287 Augusta Avenue, Toronto M5T 2M2","['Bakery', 'Cafe', 'Desserts']",CA$25,[]
124,CASUAL DINING,The Gabardine,4.1,(191 Reviews),"Bay Street, Financial District","372 Bay Street, Toronto M5H 2W9","['Canadian', 'Breakfast']",CA$75,[]
125,CASUAL DINING,Tabule,4.2,(233 Reviews),"Yonge Street, Yonge & Eglinton","2009 Yonge Street, Toronto M4S 1Z8",['Middle Eastern'],CA$55,[]
126,CASUAL DINING,Edulis,4.2,(121 Reviews),"Niagara Street, Niagara","169 Niagara Street, Toronto M5V 1C9",['European'],CA$155,['Weekend Brunches']
127,CASUAL DINING,Earls,4.0,(220 Reviews),"King Street West, Financial District","150 King Street West, Toronto M5H 1J9",['Grill'],CA$100,['Late Night Restaurants']
128,BAR,Oddseoul,4.3,(145 Reviews),"Ossington Avenue, Beaconsfield Village","90 Ossington Avenue, Toronto M6J 2Z4","['Korean', 'Asian Fusion', 'Asian']",CA$60,[]
129,CASUAL DINING,The Queen And Beaver Public House,4.3,(228 Reviews),"Street Bay, Downtown Yonge","35 Elm Street, Toronto","['British', 'Bar Food']",CA$70,[]
130,CASUAL DINING,Aji Sai,3.9,(321 Reviews),"Queen Street West, Kensington-Chinatown","467 Queen Street W, Toronto M5V 2A9","['Sushi', 'Japanese', 'Asian']",CA$70,['Super Sushi']
131,CASUAL DINING,Shinobu,4.5,(120 Reviews),"Yonge Street, Bedford Park","3403 Yonge Street, Bedford Park M4N 2M8","['Sushi', 'Japanese']",CA$30,[]
132,CASUAL DINING,Pukka,4.3,(129 Reviews),"Saint Clair Avenue West, Forest Hill","778 St. Clair Avenue West, Toronto",['Indian'],CA$85,[]
133,CASUAL DINING,Luckee by Susur Lee,4.1,(112 Reviews),"Wellington Street West, Entertainment District","SoHo Metropolitan Hotel, 328 Wellington Street West, Toronto M5V 3T4","['Dim Sum', 'Chinese', 'Asian']",CA$100,['Great Chinese']
134,CASUAL DINING,County General,3.9,(218 Reviews),"Queen Street West, Trinity Bellwoods","936 Queen Street West, Toronto M6J 1G9",['American'],CA$70,[]
135,CASUAL DINING,Woody's Burgers,4.6,(214 Reviews),"Lake Shore Boulevard West, Etobicoke","3795 Lake Shore Boulevard West, Etobicoke","['Burger', 'Grill']",CA$40,[]
136,CASUAL DINING,Mezes,4.4,(242 Reviews),"Danforth Avenue, The Danforth","456 Danforth Avenue, Toronto M4K 1P4",['Greek'],CA$60,[]
137,CASUAL DINING,The Good Son Restaurant,4.2,(111 Reviews),"Queen Street West, Beaconsfield Village","1096 Queen Street West, Toronto M6J 1H9","['Canadian', 'Pizza', 'European']",CA$85,[]
138,CASUAL DINING,Mi Ne Sushi,4.4,(254 Reviews),"Yonge Street, Richmond Hill","10815 Yonge Street, Richmond Hill","['Sushi', 'Japanese', 'Asian']",CA$85,['Super Sushi']
139,CASUAL DINING,The Beer Hall,4.1,(309 Reviews),"Tank House Lane, Distillery District","21 Tank House Lane, Toronto M5A","['American', 'Bar Food']",CA$70,[]
140,CASUAL DINING,Fran's,3.7,(236 Reviews),"College Street, Downtown Yonge","20 College Street, Toronto","['Grill', 'Diner', 'Burger', 'American']",CA$40,[]
141,CASUAL DINING,ND Sushi & Grill,4.7,(157 Reviews),"Baldwin Street, Grange Park","370 College St, Toronto M5T 1L1",['Sushi'],CA$50,['Super Sushi']
142,FINE DINING,The Chase,4.1,(149 Reviews),"Temperance Street, Financial District","10 Temperance Street, 5th Floor, Toronto","['Seafood', 'Canadian']",CA$120,[]
143,CASUAL DINING,Café Polonez,4.9,(208 Reviews),"Roncesvalles Avenue, Roncesvalles Village","195 Roncesvalles Avenue, Toronto M6R 2L5",['Polish'],CA$50,['Happy Herbivores']
