,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,Lat,Lng,Google Addresses,Postal Codes,Cluster
15,CASUAL DINING,Bar Isabel,4.8,414,"College Street, Dufferin Grove","797 College Street, Toronto M6G 1C7","Spanish, Tapas, Bar Food",150,43.65464730000001,-79.4207891,"797 College St, Toronto, ON M6G 1C7, Canada",M6G,14
16,CASUAL DINING,La Carnita,4.3,446,Little Italy,"501 College Street, Toronto M6G1A6",Mexican,35,43.6558701,-79.40979449999998,"501 College St, Toronto, ON M5S 2K2, Canada",M5S,11
17,CASUAL DINING,Messini,4.4,610,"Danforth Avenue, The Danforth","445 Danforth Avenue, Toronto M4K 1P2",Greek,40,43.6776906,-79.35053559999999,"445 Danforth Ave, Toronto, ON M4K 1P1, Canada",M4K,8
18,CASUAL DINING,WVRST,4.4,461,"King Street West, Niagara","609 King Street West, Toronto M5V 1M5",German,40,43.6441094,-79.40070899999998,"609 King St W, Toronto, ON M5V 1M5, Canada",M5V,8
19,QUICK BITES,Seven Lives - Tacos Y Mariscos,4.9,310,"Kensington Avenue, Kensington-Chinatown","69 Kensington Avenue, Toronto M5T 2K2",Mexican,25,43.654330200000004,-79.4003792,"69 Kensington Ave, Toronto, ON M5T 2K2, Canada",M5T,11
20,CASUAL DINING,Mildred's Temple Kitchen,4.2,392,"Hanna Avenue, Liberty Village","85 Hanna Avenue, Suite 104 Toronto M6K 3S3","Fusion, Canadian",80,43.64013449999999,-79.4197681,"104-85 Hanna Ave, Toronto, ON M6K 3S3, Canada",M6K,8
21,CASUAL DINING,Le Sélect Bistro,4.4,491,Fashion District,"432 Wellington Street West, Toronto M5V 1E3",French,85,43.6438713,-79.3968898,"432 Wellington St W, Toronto, ON M5V 1E3, Canada",M5V,8
22,CASUAL DINING,Buca,4.5,433,"King Street West, Fashion District","604 King Street West, Toronto M5V 1M6",Italian,80,43.6445122,-79.4003621,"604 King St W, Toronto, ON M5V 1M5, Canada",M5V,1
23,CASUAL DINING,Grazie Ristorante,4.2,694,"Yonge Street, Yonge & Eglinton","2373 Yonge Street, Toronto M4P 2C8",Italian,60,43.7093451,-79.39869589999998,"2373 Yonge St, Toronto, ON M4P 2C8, Canada",M4P,1
24,CASUAL DINING,Momofuku Noodle Bar,3.3,543,"University Avenue, Entertainment District",190 University Avenue M5H 0A3,"Japanese, Asian",60,43.6494535,-79.3863506,"190 University Ave, Toronto, ON M5H 0A3, Canada",M5H,2
25,CASUAL DINING,El Catrin Destileria,3.9,456,"Tank House Lane, Distillery District","18 Tank House Lane, Distillery District, Toronto M5A 3C4","Mexican, Tapas",45,43.65065389999999,-79.35846029999998,"18 Tank House Lane, Toronto, ON M5A 3C4, Canada",M5A,11
26,FINE DINING,Scaramouche Pasta Bar and Grill,4.7,401,"1 Benvenuto Place, Casa Loma",1 Benvenuto Pl Suite G3 M4V 2L1,French,110,43.6815208,-79.39991189999998,"1 Benvenuto Pl G3, Toronto, ON M4V 2L1, Canada",M4V,8
27,CASUAL DINING,School Bakery Cafe,4.2,415,"Fraser Avenue, Liberty Village","70 Fraser Avenue, Toronto M6K 3E1","Diner, American",50,43.6377887,-79.42436640000001,"70 Fraser Ave, Toronto, ON M6K 3E1, Canada",M6K,8
28,CASUAL DINING,JaBistro,4.6,285,"Richmond Street West, Entertainment District","222 Richmond Street West, Toronto M5V1W4 1W4",Sushi,100,43.649781299999994,-79.38815980000003,"222 Richmond St W, Toronto, ON M5V 1V6, Canada",M5V,8
29,CASUAL DINING,Beerbistro,4.4,510,"King Street East, St. Lawrence","18 King Street East, Toronto M5C 1C4","Canadian, Bar Food",80,43.6496485,-79.37708950000003,"18 King St E, Toronto, ON M5H 1A1, Canada",M5H,9
30,CASUAL DINING,Patria,4.3,297,"King Street West, Fashion District",478 King Street. West M5V 1L7,"Tapas, Spanish",120,43.64547520000001,-79.39610449999998,"478 King St W, Toronto, ON M5V 0A8, Canada",M5V,8
31,CASUAL DINING,Sansotei Ramen,4.6,413,"Dundas Street West, Discovery District","179 Dundas Street West, Toronto M5G1Z8",Ramen,40,43.655003799999996,-79.38647309999999,"179 Dundas St W, Toronto, ON M5G 1C7, Canada",M5G,8
32,CASUAL DINING,Insomnia,4.3,402,"Bloor Street West, Harbord Village","563 Bloor Street West, Toronto M5S 1Y6","American, Italian, Bar Food",100,43.6650421,-79.41077790000001,"563 Bloor St W, Toronto, ON M5S 1Y6, Canada",M5S,14
33,CASUAL DINING,Sukho Thai,4.6,286,"Wellington Street East, St. Lawrence","52 Wellington Street East, Toronto",Thai,50,43.648632899999996,-79.3746187,"52 Wellington St E, Toronto, ON M5E 1C7, Canada",M5E,8
34,FINE DINING,Jacob's and Co. Steakhouse,4.9,317,Fashion District,"12 Brant Street, Toronto",Steak,140,43.6454083,-79.39797039999998,"12 Brant St, Toronto, ON M5V 3G9, Canada",M5V,8
35,DESSERT PARLOR,Nadège,4.9,361,"Queen Street West, Trinity Bellwoods","780 Queen Street West, Toronto ON M6J 2R5","Desserts, Patisserie, Cafe",20,43.6459275,-79.4114391,"780 Queen St W, Toronto, ON M6J 2R5, Canada",M6J,12
36,CASUAL DINING,Copacabana Grilled Brazilian,4.2,540,Davisville Village,"150 Eglinton Avenue East, Toronto M5H 3H1","Brazilian, Grill",100,43.7078631,-79.39415600000001,"150 Eglinton Ave E, Toronto, ON M4P 1E8, Canada",M4P,8
37,CASUAL DINING,Buk Chang Dong Soon Tofu,4.6,382,"Bloor Street West, Seaton Village","691 Bloor Street West, Toronto M6G 1L3",Korean,30,43.66358899999999,-79.41695759999999,"691 Bloor St W, Toronto, ON M6G 1L3, Canada",M6G,8
38,DESSERT PARLOR,Bang Bang Ice Cream,4.7,219,"Ossington Avenue, Beaconsfield Village","93 1/2 Ossington Avenue, Toronto M6J 2Z4","Ice Cream, Desserts",20,43.646302,-79.419467,"93 Ossington Ave, Toronto, ON M6J 2Z2, Canada",M6J,8
39,QUICK BITES,Burrito Boyz,4.5,639,"Adelaide Street West, Entertainment District","224 Adelaide Street West, Toronto M5H 1W7","Mexican, Fast Food",25,43.6484781,-79.38805529999999,"224 Adelaide St W, Toronto, ON M5H 1W7, Canada",M5H,11
40,CASUAL DINING,Han Ba Tang,4.4,174,"Yonge Street, North York","4862 Yonge Street, North York M2N 5N2","Korean, Asian Fusion, Asian",30,43.762908200000005,-79.4115642,"4862 Yonge St, North York, ON M2N 5N2, Canada",M2N,2
41,QUICK BITES,Tacos El Asador,4.5,365,"Clinton Street, Seaton Village","690 Bloor Street West, Toronto M6G 4B9","Fast Food, Mexican",25,43.663973600000006,-79.4171032,"690 Bloor St W, Toronto, ON M6G 1L2, Canada",M6G,3
42,CASUAL DINING,Japango,4.4,344,"Elizabeth Street, Discovery District","122 Elizabeth Street, Toronto M5G 1P5","Sushi, Japanese, Asian",120,43.655066,-79.385297,"122 Elizabeth St, Toronto, ON M5G 1P5, Canada",M5G,4
43,CASUAL DINING,Playa Cabana,4.4,309,"Dupont Street, The Annex","111 Dupont Street, Toronto M5R 1V4",Mexican,70,43.6759903,-79.40121669999998,"111 Dupont St, Toronto, ON M5R 1V4, Canada",M5R,11
44,CASUAL DINING,Rol San,4.1,381,Kensington-Chinatown,"323 Spadina Avenue, Toronto M5T2E9","Dim Sum, Cantonese",45,43.6544011,-79.3981585,"323 Spadina Ave, Toronto, ON M5T 2E9, Canada",M5T,8
45,CASUAL DINING,KINTON RAMEN,3.9,476,"Baldwin Street, Grange Park","51 Baldwin Street, Toronto M5T 1L1","Ramen, Japanese",35,43.6557276,-79.39391409999999,"51 Baldwin St, Toronto, ON M5T 1L1, Canada",M5T,8
46,CASUAL DINING,Gandhi Indian Cuisine,4.3,383,"Queen Street West, Fashion District",554 Queen Street West M5V 2B7,Indian,30,43.6475091,-79.4030906,"554 Queen St W, Toronto, ON M5V 2B5, Canada",M5V,10
47,CASUAL DINING,Stoney's Bread Company,4.6,394,"Kerr Street, Oakville","325 Kerr Street, Oakville",Italian,45,43.44372600000001,-79.68122489999998,"325 Kerr St, Oakville, ON L6K 3B6, Canada",L6K,1
48,CASUAL DINING,Byblos,4.7,169,"Duncan Street, Entertainment District",11 Duncan Street M5V 3M2,Mediterranean,90,43.647529399999996,-79.3880142,"11 Duncan St, Toronto, ON M5V 3M2, Canada",M5V,8
49,CASUAL DINING,Gio Rana's Really Really Nice Restaurant,4.5,385,"Queen Street East, Leslieville","1220 Queen Street East, Toronto M4M 1L7",Italian,65,43.6634484,-79.33047890000002,"1220 Queen St E, Toronto, ON M4M 1L7, Canada",M4M,1
50,CASUAL DINING,Le Petit Dejeuner,4.3,344,"King Street East, St. Lawrence","191 King Street East, Toronto M5A 1J5","Canadian, Belgian",70,43.6506557,-79.3702608,"191 King St E, Toronto, ON M5A 1J5, Canada",M5A,9
51,FAST CASUAL,Chipotle,4.3,496,"Yonge Street, Downtown Yonge","323 Yonge Street, Toronto M5B 1R7",Tex-Mex,30,43.6568874,-79.3808684,"323 Yonge St, Toronto, ON M5B 1R7, Canada",M5B,8
52,CASUAL DINING,Holy Chuck Burgers,4.2,337,Yonge & St. Clair,"1450 Yonge Street, Toronto",Burger,30,43.6875274,-79.3940599,"1450 Yonge St, Toronto, ON M4T 1Y5, Canada",M4T,8
53,CASUAL DINING,GuruLukshmi,4.5,335,"Derry Village Square, Mississauga",7070 Saint Barbara Boulevard L5W 0E6,Indian,40,43.638622399999996,-79.7161974,"7070 St Barbara Blvd, Mississauga, ON L5W 0E6, Canada",L5W,10
54,CASUAL DINING,Ramen Isshin,4.7,157,"College Street, Harbord Village","421 College Street, Toronto M5T 1T1","Ramen, Japanese",50,43.6563265,-79.40686579999998,"421 College St, Toronto, ON M5T 1T1, Canada",M5T,8
55,CASUAL DINING,Enoteca Sociale,4.5,280,"Dundas Street West, Dufferin Grove","1288 Dundas Street West, Toronto M6J 1X7","Italian, European",90,43.649582200000005,-79.42562939999998,"1288 Dundas St W, Toronto, ON M6J 1X7, Canada",M6J,1
56,BAR,The Lounge - The Drake Hotel,4.1,360,"Queen Street West, Beaconsfield Village","The Drake Hotel, 1150 Queen Street West, Toronto M6J 1J3","Bar Food, European, Asian",65,43.6432306,-79.4246385,"1150 Queen St W, Toronto, ON M6J 1J3, Canada",M6J,7
57,BAR,Sneaky Dee's,4.0,321,"College Street, Little Italy","431 College Street, Toronto M5T 1T1","Mexican, Bar Food, Tex-Mex",20,43.656333000000004,-79.407487,"431 College St, Toronto, ON M5T 1T1, Canada",M5T,11
58,BAR,Amsterdam BrewHouse,3.9,233,"Amsterdam Bridge, Harbourfront","245 Queens Quay West, Toronto M5J 2K9",Bar Food,70,43.638524700000005,-79.3850073,"245 Queens Quay W, Toronto, ON M5J 2K9, Canada",M5J,7
59,CASUAL DINING,The Sultan's Tent & Cafe Moroc,3.8,410,"Front Street East 3rd Floor, St. Lawrence","49 Front Street East, Toronto","French, Moroccan",70,43.6477782,-79.37414220000001,"49 Front St E, Toronto, ON M5E 1B3, Canada",M5E,8
60,CASUAL DINING,Utopia,4.4,379,"College Street, Little Italy","586 College Street, Toronto M6G 1B3","American, Mexican",40,43.655446000000005,-79.413505,"586 College St, Toronto, ON M6G 1B3, Canada",M6G,14
61,CASUAL DINING,Buster's Sea Cove,4.5,275,"Front Street East, St. Lawrence","St. Lawrence Market, 93 Front Street East, Toronto",Seafood,50,43.6486879,-79.3715454,"93 Front St E, Toronto, ON M5E 1C3, Canada",M5E,8
62,CASUAL DINING,Lady Marmalade,4.4,299,"Queen Street East, Riverside","265 Broadview Ave, Toronto M4M 1J3",Mexican,40,43.663208399999995,-79.3515108,"265 Broadview Ave, Toronto, ON M4M 1T4, Canada",M4M,11
63,FINE DINING,360 Restaurant,4.1,346,"CN Tower, Entertainment District","CN Tower, 301 Front Street West, Toronto M5V 2T6","Canadian, Grill",180,43.6425657,-79.38705569999998,"CN Tower, 301 Front St W, Toronto, ON M5V 2T6, Canada",M5V,9
64,QUICK BITES,Porchetta & Co.,4.6,227,"Dundas Street West, Trinity Bellwoods","825 Dundas Street West, Toronto M6J 1V4",Sandwich,30,43.6515535,-79.4090015,"825 Dundas St W, Toronto, ON M6J 1V4, Canada",M6J,8
65,CASUAL DINING,Cluny Bistro & Boulangerie,4.3,192,"Mill Street, Distillery District","35 Tank House Lane, Distillery District, Toronto M5A 3C4",French,90,43.6505879,-79.3578962,"35 Tank House Lane, Toronto, ON M5A 3C4, Canada",M5A,8
66,BAKERY,Bonjour Brioche,4.3,289,"Queen Street East, Riverside","812 Queen Street East, Toronto","Bakery, Cafe, Breakfast",35,43.6598261,-79.34630779999998,"812 Queen St E, Toronto, ON M4M 1H6, Canada",M4M,0
67,BAR,House On Parliament,4.7,314,"Parliament Street, Regent Park","454 Parliament Street, Toronto M5A 2H6","British, Bar Food",75,43.6636458,-79.36779320000001,"454 Parliament St, Toronto, ON M5A 3A2, Canada",M5A,14
68,QUICK BITES,Johnny's Hamburgers,4.2,470,"Sheppard Avenue East, Scarborough","2595 Victoria Park Avenue, Scarborough M1T 1A4",Burger,15,43.7748844,-79.32228420000001,"2595 Victoria Park Ave, Scarborough, ON M1T 1A4, Canada",M1T,8
69,CASUAL DINING,Beast,4.4,193,"Tecumseth Street, Niagara","96 Tecumseth Street, Toronto M6J 2H1",Canadian,65,43.644079299999994,-79.4057444,"96 Tecumseth St, Toronto, ON M6J 2H1, Canada",M6J,9
70,CASUAL DINING,Bar Raval,4.2,110,"College Street, Little Italy","505 College Street, Toronto M6G 1A4","Spanish, Tapas, Bar Food",60,43.6558432,-79.4099433,"505 College St, Toronto, ON M6J 2J3, Canada",M6J,14
71,DESSERT PARLOR,Sweet Jesus,3.8,131,"Adelaide Street West, Entertainment District","106 John Street, Toronto M5H 1X9","Ice Cream, Coffee and Tea",15,43.64718449999999,-79.39017559999998,"106 John St, Toronto, ON M5H 1X9, Canada",M5H,8
72,CASUAL DINING,Yuzu No Hana,4.5,226,"Adelaide Street West, Entertainment District","236 Adelaide Street West, Toronto M5H 1W7","Sushi, Japanese, Asian",100,43.64846179999999,-79.38837219999998,"236 Adelaide St W, Toronto, ON M5H 1W7, Canada",M5H,4
73,DESSERT PARLOR,Uncle Tetsu's Japanese Cheesecake,4.2,193,"Bay St Toronto, Discovery District","598 Bay Street, Toronto M5G 1C3","Desserts, Japanese, Asian",15,43.655968900000005,-79.38401340000001,"598 Bay St, Toronto, ON M5G 1C3, Canada",M5G,12
74,CAFÉ,Black Camel,4.8,230,Rosedale,"4 Crescent Road, Toronto M4W 1S9","Cafe, Sandwich",30,43.677286200000005,-79.3894689,"4 Crescent Rd, Toronto, ON M4W 1S9, Canada",M4W,6
75,CAFÉ,Saving Grace,4.2,185,"Dundas Street West, Trinity Bellwoods","907 Dundas Street West, Toronto M6J 1V9","Cafe, Canadian",30,43.6508652,-79.41242869999998,"907 Dundas St W, Toronto, ON M6J 1W1, Canada",M6J,6
76,CASUAL DINING,Dailo,4.3,111,Little Italy,"503 College Street, Toronto M6G 1A5","Chinese, Asian Fusion",85,43.655848999999996,-79.4098724,"503 College St, Toronto, ON M6J 2J3, Canada",M6J,8
77,FINE DINING,George Restaurant,4.8,193,"Queen Street East, Garden District","111C Queen Street East, Toronto M5C 1S2",Canadian,110,43.6533262,-79.374507,"111C Queen St E, Toronto, ON M5C 1S2, Canada",M5C,9
78,CASUAL DINING,Fishman Lobster Clubhouse,4.0,175,"Steeles Avenue East, Scarborough","Silver Star, 680 Silver Star Boulevard, Scarborough M1V 4S5","Seafood, Cantonese, Chinese",140,43.8240474,-79.300648,"680 Silver Star Blvd, Scarborough, ON M1V 4S5, Canada",M1V,13
79,CASUAL DINING,Sushi Kaji,4.6,184,"The Queensway, Etobicoke","860 The Queensway, Etobicoke M8Z 1N7",Sushi,160,43.6249445,-79.50995259999998,"860 The Queensway, Etobicoke, ON M8Z 1N7, Canada",M8Z,8
80,CASUAL DINING,Sassafraz,4.2,300,"Cumberland Street, Yorkville","100 Cumberland Street, Toronto M5S 2W7","Canadian, French",90,43.6704589,-79.39121740000002,"100 Cumberland St, Toronto, ON M5S 2W7, Canada",M5S,9
81,CASUAL DINING,Trattoria Nervosa,4.4,278,"Yorkville Avenue, Yorkville","75 Yorkville Avenue, Toronto M5R 1B8",Italian,70,43.6710199,-79.39108540000001,"75 Yorkville Ave, Toronto, ON M5R 1B8, Canada",M5R,1
82,FINE DINING,Ruby Watchco,4.8,235,"Queen Street East, Riverside","730 Queen Street East, Toronto M4M 1H2",Canadian,120,43.6592086,-79.3491468,"730 Queen St E, Toronto, ON M4M 1H2, Canada",M4M,9
83,CASUAL DINING,Mother's Dumplings,4.1,279,"Spadina Avenue, Kensington-Chinatown","421 Spadina Avenue, Toronto M5T2G6",Northern Chinese,30,43.65711839999999,-79.3993309,"421 Spadina Ave, Toronto, ON M5T 0A1, Canada",M5T,8
84,CASUAL DINING,Kingyo,4.3,176,"Winchester Street, Cabbagetown","51B Winchester Street, Toronto M4X 1R7","Sushi, Japanese, Asian",110,43.66586289999999,-79.36819720000001,"51B Winchester St, Toronto, ON M4X 1P3, Canada",M4X,4
85,CASUAL DINING,Le Cafe Michi,4.3,209,"Pharmacy Avenue, Scarborough","1802 Pharmacy Avenue, Scarborough M1T 1H6","Sushi, Japanese, Asian",55,43.7755898,-79.31783779999998,"1802 Pharmacy Ave, Scarborough, ON M1T 1K1, Canada",M1T,4
86,CASUAL DINING,Little India,4.2,279,"Queen Street West, Entertainment District","255 Queen Street West, Toronto M5V1Z4",Indian,40,43.650234600000005,-79.3889547,"255 Queen St W, Toronto, ON M5V 1Z4, Canada",M5V,10
87,CASUAL DINING,Olde Yorke,4.6,274,Leaside,"96 Laird Drive, Toronto","Fish and Chips, British",60,43.706238799999994,-79.3621045,"96 Laird Dr, East York, ON M4G 3V3, Canada",M4G,8
88,FINE DINING,Barberian's Steakhouse And Tavern,4.4,276,Downtown Yonge,"7 Elm Street, Toronto M5G 1H1",Steak,160,43.65759430000001,-79.38217019999998,"7 Elm St, Toronto, ON M5G 1H1, Canada",M5G,8
89,CAFÉ,Le Gourmand,4.6,173,"Spadina Avenue, Fashion District","152 Spadina Avenue, Toronto M5V 3S6",Cafe,25,43.6481229,-79.39664090000001,"152 Spadina Ave, Toronto, ON M5V 1Y1, Canada",M5V,6
90,CASUAL DINING,Queen Mother Cafe,4.3,328,"Queen Street West, Entertainment District","208 Queen Street West, Toronto M5V 1Z2",Asian Fusion,50,43.6504778,-79.38919720000001,"208 Queen St W, Toronto, ON M5V 1Z2, Canada",M5V,8
91,DESSERT PARLOR,Millie Creperie,4.4,124,"Baldwin Street, Kensington-Chinatown","161 Baldwin Street, Toronto M5T 1L9","Desserts, Cafe, Japanese",30,43.6547744,-79.39979029999998,"161 Baldwin St, Toronto, ON M5T 1L9, Canada",M5T,12
92,BAR,416 Snack Bar,4.3,174,"Queen Street West, Trinity Bellwoods","181 Bathurst Street, Toronto M5T 2R7","Bar Food, Asian Fusion, Canadian",40,43.6475364,-79.40385340000002,"181 Bathurst St, Toronto, ON M5T 2R7, Canada",M5T,7
93,CASUAL DINING,Ding Tai Fung,4.4,231,"Highway 7, Markham","First Markham Place, 3235 Highway 7 E, Markham L3R 3P3","Shanghai, Chinese, Asian",35,43.848705100000004,-79.34793409999999,"3235 Hwy 7 #23-26, Markham, ON L3R 3P3, Canada",L3R,13
94,FINE DINING,Harbour Sixty,4.3,270,"Bay Street, Harbourfront","60 Harbour Street, Toronto","Seafood, American",180,43.6421013,-79.3784532,"60 Harbour St, Toronto, ON M5J 1B7, Canada",M5J,8
95,CASUAL DINING,Joey,4.4,305,"Clock Tower Road, North York","75, O'Neill Road, North York, Toronto M3C 0H2","Steak, Grill, Fusion",70,43.733964,-79.34492490000001,"75 O'Neill Rd, North York, ON M3C 0H1, Canada",M3C,8
96,CASUAL DINING,Scaddabush,4.4,162,"Yonge Street, Downtown Yonge","382 Yonge Street, Toronto M5B 1S8",Italian,60,43.65924090000001,-79.38286,"382 Yonge St, Toronto, ON M5B 1S9, Canada",M5B,1
97,FINE DINING,Bymark,4.7,292,"King Street West, Financial District","Toronto Dominion Centre, 66 Wellington Street West, Toronto M5K 1M6",Canadian,120,43.647707700000005,-79.3816976,"66 Wellington St W, Toronto, ON M5K 1A1, Canada",M5K,9
98,QUICK BITES,El Trompo,4.4,247,"Oxford Street, Kensington-Chinatown","277 Augusta Avenue, Toronto M5T2M1",Mexican,45,43.6559148,-79.4023148,"277 Augusta Ave, Toronto, ON M5T 2M1, Canada",M5T,11
99,FINE DINING,Yasu,4.3,75,"Harbord Street, Harbord Village","81 Harbord Street, Toronto M5S 1G4","Sushi, Japanese, Asian",160,43.662729799999994,-79.4031832,"81 Harbord St, Toronto, ON M5S 1G4, Canada",M5S,4
100,CASUAL DINING,Restoran Malaysia,4.5,297,"Major Mackenzie Drive East, Richmond Hill","815 Major Mackenzie Drive E, Unit 10, Richmond Hill L4C 9X2","Malaysian, Asian",60,43.8757369,-79.4135058,"10-815 Major Mackenzie Dr E, Richmond Hill, ON L4C 9X2, Canada",L4C,2
101,CASUAL DINING,The Lakeview Restaurant,3.8,272,"Dundas Street West, Little Italy","1132 Dundas Street West, Toronto","Canadian, Diner, Grill, Burger",45,43.6495907,-79.42038520000001,"1132 Dundas St W, Toronto, ON M6J 1X2, Canada",M6J,9
102,CASUAL DINING,Rose & Sons,4.1,200,"Dupont Street, The Annex","176 Dupont Street, Toronto M5R 2E6","American, Fusion",70,43.67574399999999,-79.4036733,"176 Dupont St, Toronto, ON M5R 2E6, Canada",M5R,14
103,QUICK BITES,Poutini's House of Poutine,4.2,231,"Queen Street West, Beaconsfield Village","1112 Queen Street West, Toronto M6J 1H9",Canadian,25,43.6434393,-79.42317320000001,"1112 Queen St W, Toronto, ON M6J 1H9, Canada",M6J,9
104,CASUAL DINING,RS - Real Sports,4.0,280,"York Street, Entertainment District","Maple Leaf Square, 15 York Street, Toronto, ON M5J 2Z2","Bar Food, Grill",80,43.6425315,-79.38063799999998,"15 York St, Toronto, ON M5J 0A3, Canada",M5J,7
105,QUICK BITES,Ravi Soups,4.9,238,"Adelaide Street West, Entertainment District","322 Adelaide Street West, Toronto M5V 1R1","Sri Lankan, Healthy Food",35,43.647585299999996,-79.3920316,"322 Adelaide St W, Toronto, ON M5V 1R1, Canada",M5V,8
106,CASUAL DINING,Farmhouse Tavern,4.3,163,"Dupont Street, Junction Triangle","1627 Dupont Street, Toronto M6P 3S8","Bar Food, Canadian",65,43.66468029999999,-79.45513829999999,"1627 Dupont St, Toronto, ON M6P 3S8, Canada",M6P,7
107,CASUAL DINING,Cibo Wine Bar King St West,4.0,155,"King Street West, Fashion District","522 King Street West, Toronto",Italian,70,43.645241399999996,-79.39740429999998,"522 King St W, Toronto, ON M5V 1L7, Canada",M5V,1
108,CASUAL DINING,Mickey's Pizza,4.5,232,"Lakeshore Road West, Mississauga","1900 Lakeshore Road W, Mississauga L5J 1J7",Pizza,30,43.513695500000004,-79.626395,"1900 Lakeshore Rd W, Mississauga, ON L5J 1J7, Canada",L5J,5
109,CASUAL DINING,Sushi On Bloor,4.2,354,"Bloor Street West, Harbord Village","25 Bloor Street West, Toronto M5S 1Y4 M5S","Sushi, Japanese, Asian",50,43.669919799999995,-79.3878953,"25 Bloor St W, Toronto, ON M4W 1A3, Canada",M4W,4
110,CASUAL DINING,The 3 Brewers,4.1,314,"Yonge Street, Downtown Yonge","275 Yonge Street, Toronto M5B 1N8","American, Bar Food",65,43.6555236,-79.38022240000001,"275 Yonge St, Toronto, ON M5B 1N8, Canada",M5B,14
111,BAKERY,Lamanna's Bakery,4.7,169,"Kingston Road, Scarborough","6758 Kingston Road, Scarborough M1B 1G8","Bakery, Italian",25,43.7984704,-79.1481948,"6758 Kingston Rd, Scarborough, ON M1B 1G8, Canada",M1B,0
112,CASUAL DINING,Woodlot,4.2,211,"College Street, Little Italy","293 Palmerston Avenue, Toronto M6J 2J3",Canadian,100,43.6556815,-79.40974150000001,"293 Palmerston Ave, Toronto, ON M6J 2J3, Canada",M6J,9
