,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,featured in,Google Addresses,Lat,Lng,Postal Codes
4396,QUICK BITES,Pan Am's Joint,3.3,6,"Military Trail, Scarborough","790 Military Trail, Unit 1A, Scarborough","Diner, Desserts",20,,"1A-790 Military Trail, Scarborough, ON M1E 5K4, Canada",43.790302000000004,-79.19575929999998,M1E
4397,CAFÉ,Pavillion Pastries,3.5,5,"Danforth Avenue, East Danforth","2554 Danforth Avenue, Toronto M4C 1L3",Cafe,20,,"2554 Danforth Ave, Toronto, ON M4C 1L3, Canada",43.6884439,-79.30177509999999,M4C
4398,BAR,Salty Dog Bar & Grill,2.8,11,"Queen Street East, The Beaches","1980 Queen Street East, Toronto",Bar Food,45,,"1980 Queen St E, Toronto, ON M4L 1J2, Canada",43.6701646,-79.30082409999999,M4L
4399,CASUAL DINING,Pasta Tutti Giorni,3.2,5,"Island Road, Scarborough","98 Island Road, Unit C, Scarborough M1C 3P2",Italian,45,,"98 Island Rd Unit C, Scarborough, ON M1C 3P2, Canada",43.79830670000001,-79.13935289999998,M1C
4400,QUICK BITES,City Fried Chicken & Pizza,3.4,7,"Danforth Avenue, The Danforth","990 Danforth Avenue, Toronto","Pizza, Fast Food",25,,"990 Danforth Ave, Toronto, ON M4J 1L9, Canada",43.68048889999999,-79.3375786,M4J
4401,QUICK BITES,Barrio Fiesta,3.7,4,"Lapsley Road, Scarborough","19 Lapsley Road, Scarborough M1B 1N1",Filipino,25,,"19 Lapsley Rd, Scarborough, ON M1B 1N1, Canada",43.7956102,-79.22645709999998,M1B
4402,CAFÉ,Pasta Mia,3.7,10,"Front Street East, St. Lawrence","St Lawrence Market, 91 Front Street East, Lower Level, Toronto","Cafe, Italian",25,,"93 Front St E, Toronto, ON M5E 1C3, Canada",43.6490516,-79.3717741,M5E
4403,PUB,Magwyers Pub,3.4,6,Ajax,"105 Bayly Street West, Ajax","Burger, Bar Food",45,,"105 Bayly St W, Ajax, ON L1S 7K8, Canada",43.8419547,-79.02236920000001,L1S
4404,CAFÉ,Orange Alert Coffee,2.7,10,"Dundas Street West, Grange Park","298 Dundas Street West, Toronto M5T 1G2",Cafe,15,,"298 Dundas St W, Toronto, ON M5T 1G2, Canada",43.65443030000001,-79.3913599,M5T
4405,CASUAL DINING,Essence of Unionville - Hilton Toronto/Markham Suites,3.6,6,"Warden Avenue, Markham","Hilton Toronto/Markham Suites, 8500 Warden Avenue, Markham L6G 1A5",Grill,80,,"8500 Warden Ave, Markham, ON L6G 1A5, Canada",43.853977,-79.33493790000001,L6G
4406,QUICK BITES,Grasshopper Restaurant,3.2,5,The Junction,"3080 Dundas Street W, Toronto M6P 1Z8","Vegetarian, Salad",15,,"3080 Dundas St W, Toronto, ON M6P 1Z8, Canada",43.6656134,-79.4724566,M6P
4407,FOOD COURT,Extreme Pita,3.1,11,"Main Street East, Milton","Milton Common, 840 Main Street East, Milton","Fast Food, Mediterranean",25,,"Milton Common, Milton, ON L9T, Canada",43.52542769999999,-79.8681837,
4408,CASUAL DINING,Atlas Palace Cafe,3.5,5,"Danforth Avenue, East Danforth","1413 Danforth Avenue, Toronto M4J 1N2",Middle Eastern,30,,"1413 Danforth Ave, Toronto, ON M4J 1N2, Canada",43.6823714,-79.32730889999998,M4J
4409,FOOD COURT,Richtree Queen Street Deli,3.1,6,"Yonge Street, Financial District","Richtree Market, Eaton Centre, Level One , 14 Queen Street West, Toronto",Deli,20,,"220 Yonge St, Toronto, ON M5B 2H1, Canada",43.654064399999996,-79.3806966,M5B
4410,CASUAL DINING,Brooklin Pub,3.1,5,Whitby,"15 Baldwin Street North, Whitby L1M",Bar Food,43,,"15 Baldwin St N, Whitby, ON L1M, Canada",43.9543597,-78.9616887,
4411,QUICK BITES,Painted Post Fish & Chips,3.1,5,"Painted Post Drive, Scarborough","803 Markham Road, Scarborough M1H 2A8",Fish and Chips,25,,"803 Markham Rd, Scarborough, ON M1H 2Y1, Canada",43.7673077,-79.22742640000001,M1H
4412,QUICK BITES,Mr. Thai,2.2,6,"Yonge Street, Yonge & St. Clair","1521 Yonge Street, Toronto","Thai, Asian",30,,"1521 Yonge St, Toronto, ON M4T 1Z2, Canada",43.689623600000004,-79.39437590000001,M4T
4413,QUICK BITES,Biryani Hut,3.0,4,"Markham Road, Scarborough","6055 Steeles Avenue East, Scarborough",Indian,20,,"6055 Steeles Ave E, Scarborough, ON M1V 5P6, Canada",43.836538299999994,-79.24960809999997,M1V
4414,CAFÉ,Bean There,3.7,7,"Reynolds Street, Oakville","106 Reynolds Street, Oakville",Cafe,20,,"106 Reynolds St, Oakville, ON L6J 6E9, Canada",43.4482835,-79.666074,L6J
4415,QUICK BITES,Polish Food Hot and Deli,3.5,7,Oshawa,"1051 Simcoe Street North, Oshawa","BBQ, Eastern European, Polish",45,,"1051 Simcoe St N, Oshawa, ON L1G 4W3, Canada",43.9258658,-78.87510859999998,L1G
4416,LOUNGE,Lobby Lounge - Thompson Toronto Hotel,2.6,5,"Wellington Street West, Fashion District","Thompson Toronto Hotel, 550 Wellington Street, Toronto M5V",Bar Food,65,,"51 Bathurst Street, 550 Wellington St W, Toronto, ON M5V 2V4, Canada",43.642952,-79.4019314,M5V
4417,QUICK BITES,Sushi Huang,2.9,9,Aurora,"265 Edward Street, Unit 5, Aurora","Japanese, Sushi",25,,"5-265 Edward St, Aurora, ON L4G 3M7, Canada",43.9863033,-79.4637965,L4G
4418,CASUAL DINING,Pho Hong,2.8,11,"Highway 7, Richmond Hill","Times Square, 550 Highway 7 East, Unit 89-90, Richmond Hill","Vietnamese, Korean, Asian",30,,"550 Hwy 7, Richmond Hill, ON L4B 3Z4, Canada",43.8449491,-79.38351180000002,L4B
4419,BAKERY,La Casa Dolce,3.3,5,"Queensway East, Mississauga","755 Queensway East, Mississauga L4Y 4C5","Desserts, Cafe",25,,"755 Queensway E, Mississauga, ON L4Y 4C5, Canada",43.5901055,-79.5913334,L4Y
4420,CAFÉ,Infuse Cafe,3.2,5,"Gerrard Street East, Leslieville","Gerrard Square, 1000 Gerrard St E, Toronto","Cafe, Bubble Tea",10,,"1000 Gerrard St E, Toronto, ON M4M 3G6, Canada",43.669144,-79.3391627,M4M
4421,CASUAL DINING,Su-Good,3.1,6,"Danforth Avenue, East Danforth","2626 Danforth Avenue, Toronto M4C 1L7","Chinese, Asian",35,,"2626 Danforth Ave, Toronto, ON M4C 1L7, Canada",43.6886686,-79.30027419999998,M4C
4422,CASUAL DINING,Hunan Style Restaurant,3.4,6,Scarborough,"633 Silver Star Boulevard, Scarborough","Chinese, Asian",25,,"633 Silver Star Blvd, Scarborough, ON M1V 5N1, Canada",43.822338,-79.299561,M1V
4423,BAR,Poetry Jazz Cafe,3.8,9,"Augusta Avenue, Kensington-Chinatown","224 Augusta Avenue, Toronto",Drinks Only,45,,"224 Augusta Ave, Toronto, ON M5T 2L6, Canada",43.6549374,-79.40241309999998,M5T
4424,CASUAL DINING,Dragon Court Restaurant,3.3,11,Uxbridge,"9 Brock Street, Uxbridge","Asian, Chinese",43,,"9 Brock St W, Uxbridge, ON L9P 1P6, Canada",44.1094711,-79.121027,L9P
4425,CAFÉ,Colonnade Gourmet & Kitchen,3.6,13,Yorkville,"131 Bloor Street West, Toronto M5S 3L7",Cafe,25,,"131 Bloor St W, Toronto, ON M5S 3L7, Canada",43.66870820000001,-79.39237659999998,M5S
4426,QUICK BITES,Sina's BBQ,3.9,11,"Tomken Road, Mississauga","5171 Tomken Road, Mississauga","Portuguese, BBQ",40,,"5171 Tomken Rd, Mississauga, ON L4W 2X4, Canada",43.629859100000004,-79.63577819999998,L4W
4427,CAFÉ,Cori's Café,3.6,6,Georgina,"132 High Street, Sutton, Georgina","Sandwich, Healthy Food, Cafe",43,,"132 High St, Georgina, ON L0E, Canada",44.304406799999995,-79.35991290000003,
4428,CASUAL DINING,Chopstick Cuisine,3.1,8,"Derry Road East, Mississauga","2875 Derry Road East, Mississauga L4T 1A6",Chinese,25,,"2875 Derry Rd E, Mississauga, ON L4T 1A6, Canada",43.703145,-79.64428199999998,L4T
4429,CASUAL DINING,Simply Delicious,3.2,4,Markham,"7850 Woodbine Avenue, Markham L3R 0B9",Indian,35,,"7850 Woodbine Ave, Markham, ON L3R 0B9, Canada",43.83379,-79.3550921,L3R
4430,CASUAL DINING,Top Sushi,2.2,5,"College Street, Discovery District","185 College Street, Toronto M5T1P7",Sushi,30,,"185 College St, Toronto, ON M5T 1P7, Canada",43.6588013,-79.39443469999998,M5T
4431,CASUAL DINING,A Taste of The Islands,3.5,8,Newmarket,"16700 Bayview Avenue, Newmarket L3X",Caribbean,40,,"16700 Bayview Ave, Newmarket, ON L3X 1W1, Canada",44.0403492,-79.45289659999997,L3X
